"age","job","marital","education","balance","housing","duration","campaign",approval
"38","technician","single","tertiary","221","no","79","3","no"
"34","management","married","tertiary","136","yes","156","1","no"
"67","blue-collar","married","secondary","16353","no","223","2","no"
"32","blue-collar","married","secondary","-63","yes","198","1","no"
"45","housemaid","married","primary","7353","no","536","2","no"
"33","blue-collar","married","primary","511","yes","304","2","no"
"38","admin.","married","primary","3913","yes","196","2","no"
"32","technician","divorced","secondary","1097","yes","298","2","no"
"54","retired","divorced","tertiary","6102","yes","86","6","no"
"51","admin.","divorced","secondary","340","yes","186","1","no"
"42","blue-collar","married","primary","-119","yes","167","3","no"
"41","admin.","married","secondary","2993","yes","24","12","no"
"39","management","divorced","tertiary","3575","no","74","3","no"
"38","blue-collar","married","secondary","361","yes","601","1","no"
"39","management","married","secondary","1072","yes","1168","2","no"
"46","blue-collar","married","primary","2904","no","277","2","no"
"50","entrepreneur","divorced","tertiary","1790","no","748","3","no"
"33","blue-collar","married","secondary","86","yes","364","1","no"
"37","technician","married","secondary","1633","yes","229","3","no"
"31","management","married","tertiary","8312","no","43","13","no"
"34","blue-collar","divorced","unknown","172","no","177","1","yes"
"34","management","married","tertiary","0","yes","262","1","yes"
"36","management","married","tertiary","222","yes","317","1","no"
"40","technician","married","secondary","109","no","402","22","no"
"40","blue-collar","married","secondary","1451","no","314","1","yes"
"41","technician","married","secondary","1066","no","109","3","yes"
"52","management","married","tertiary","3163","no","56","6","no"
"40","services","single","secondary","888","yes","169","2","no"
"48","blue-collar","single","unknown","428","yes","127","1","no"
"33","management","divorced","secondary","106","no","175","3","no"
"44","technician","divorced","secondary","0","no","56","2","no"
"55","management","married","tertiary","979","no","123","1","no"
"51","admin.","married","secondary","2662","no","148","2","no"
"34","management","single","tertiary","84","no","231","1","no"
"58","retired","divorced","unknown","5920","yes","255","1","no"
"39","management","single","tertiary","816","yes","37","3","no"
"27","unemployed","single","secondary","3276","no","106","1","no"
"55","management","divorced","unknown","2","yes","95","1","no"
"35","technician","single","secondary","-51","no","134","2","no"
"37","technician","single","tertiary","3315","yes","820","2","no"
"52","technician","married","secondary","196","yes","116","1","no"
"41","blue-collar","married","secondary","552","yes","463","1","no"
"52","admin.","married","secondary","2347","no","603","3","no"
"34","blue-collar","single","secondary","3723","yes","47","5","no"
"53","management","divorced","primary","255","no","126","1","no"
"33","management","single","tertiary","3143","no","421","2","yes"
"47","self-employed","married","secondary","0","no","174","8","no"
"35","blue-collar","married","secondary","6411","yes","144","1","no"
"33","management","single","tertiary","1909","no","191","2","no"
"55","blue-collar","married","primary","3873","no","222","1","no"
"58","self-employed","married","primary","1013","yes","206","1","yes"
"44","admin.","married","secondary","262","yes","74","1","no"
"25","services","single","secondary","3217","yes","24","1","no"
"37","technician","single","secondary","5436","yes","7","11","no"
"41","blue-collar","married","primary","2067","yes","493","7","no"
"34","blue-collar","single","secondary","215","no","350","3","yes"
"36","services","divorced","secondary","1594","no","250","3","no"
"44","self-employed","married","tertiary","134","no","86","4","no"
"34","entrepreneur","divorced","tertiary","262","no","371","1","no"
"56","blue-collar","divorced","primary","3021","no","419","2","no"
"43","management","divorced","tertiary","388","yes","2087","2","yes"
"28","blue-collar","single","secondary","3412","yes","22","4","no"
"54","blue-collar","married","secondary","1291","yes","266","1","no"
"37","technician","divorced","secondary","79","no","191","1","no"
"59","self-employed","married","tertiary","2013","no","222","4","yes"
"58","blue-collar","divorced","secondary","543","no","264","3","no"
"56","management","divorced","tertiary","1016","yes","184","5","no"
"32","blue-collar","single","secondary","604","no","95","3","no"
"42","management","single","tertiary","525","no","127","2","no"
"52","retired","divorced","primary","353","no","395","4","no"
"46","management","married","tertiary","964","yes","174","1","no"
"37","admin.","married","tertiary","3913","yes","124","1","yes"
"39","blue-collar","married","primary","879","yes","102","2","no"
"31","admin.","married","secondary","314","yes","279","1","no"
"59","housemaid","married","primary","0","no","76","11","no"
"38","blue-collar","married","secondary","1370","yes","472","2","no"
"58","management","married","secondary","37","no","84","11","no"
"34","management","single","tertiary","673","yes","271","1","no"
"40","services","married","secondary","-342","yes","754","1","no"
"20","student","single","secondary","291","no","172","5","no"
"34","technician","married","secondary","209","yes","375","2","no"
"31","technician","single","tertiary","438","yes","130","2","no"
"39","admin.","single","secondary","1242","yes","303","3","no"
"34","entrepreneur","married","tertiary","355","yes","261","1","no"
"24","blue-collar","married","secondary","204","yes","229","3","no"
"41","management","married","tertiary","10758","yes","288","1","no"
"40","management","married","tertiary","5","yes","219","3","no"
"45","technician","single","secondary","410","yes","891","4","yes"
"36","management","married","tertiary","605","yes","204","1","no"
"53","management","married","tertiary","4","no","19","6","no"
"23","student","single","secondary","8494","no","158","2","no"
"42","entrepreneur","married","primary","198","yes","314","1","no"
"48","blue-collar","married","secondary","841","yes","215","1","no"
"34","management","married","tertiary","8","no","169","4","no"
"36","admin.","married","secondary","470","yes","101","4","no"
"43","retired","married","secondary","520","yes","15","13","no"
"36","blue-collar","married","secondary","439","yes","260","5","no"
"49","blue-collar","married","secondary","-454","yes","558","1","yes"
"55","retired","married","secondary","466","no","287","4","no"
"53","retired","married","secondary","665","yes","371","2","yes"
"42","technician","married","secondary","994","yes","149","1","yes"
"45","admin.","married","secondary","5346","yes","187","1","yes"
"31","blue-collar","married","secondary","1243","yes","32","1","no"
"32","admin.","married","tertiary","0","yes","138","1","no"
"36","blue-collar","married","secondary","2357","yes","228","2","no"
"56","retired","married","secondary","1044","no","353","2","yes"
"46","admin.","married","secondary","1069","yes","45","2","no"
"41","housemaid","single","secondary","231","no","76","2","no"
"31","admin.","married","secondary","0","yes","144","2","no"
"32","technician","married","secondary","266","yes","168","2","no"
"38","management","married","tertiary","-70","yes","140","1","no"
"49","retired","single","primary","25824","no","94","1","no"
"46","management","single","primary","538","no","118","3","no"
"29","technician","single","secondary","534","yes","382","1","no"
"36","admin.","married","unknown","2323","no","111","1","no"
"38","admin.","married","secondary","1852","yes","298","2","no"
"53","technician","married","secondary","2647","yes","121","1","no"
"43","management","married","tertiary","2767","yes","317","7","no"
"41","management","married","tertiary","176","yes","42","1","no"
"42","management","single","secondary","9720","no","81","2","no"
"55","blue-collar","divorced","secondary","1613","yes","296","1","yes"
"39","admin.","divorced","secondary","2903","yes","259","2","no"
"30","admin.","single","secondary","81","yes","121","6","no"
"41","blue-collar","married","secondary","780","yes","432","3","no"
"44","unemployed","married","tertiary","178","no","126","2","no"
"58","management","married","tertiary","299","no","120","4","no"
"35","retired","married","primary","285","yes","136","1","no"
"27","blue-collar","married","secondary","872","yes","1130","3","no"
"34","services","married","secondary","1337","no","330","2","yes"
"25","services","married","secondary","72","yes","305","2","no"
"36","blue-collar","married","secondary","0","no","332","3","no"
"38","blue-collar","married","secondary","-388","yes","412","1","no"
"30","admin.","married","secondary","11","yes","157","1","no"
"47","blue-collar","divorced","secondary","-535","yes","71","2","no"
"41","services","divorced","secondary","787","yes","297","2","no"
"36","management","single","tertiary","3343","no","307","1","no"
"63","entrepreneur","married","secondary","3904","no","250","2","yes"
"23","management","single","tertiary","736","yes","119","1","no"
"32","management","married","tertiary","1390","no","116","2","no"
"57","retired","married","primary","808","no","274","1","no"
"48","management","married","tertiary","1147","no","389","1","yes"
"49","services","married","secondary","1122","no","143","1","no"
"50","technician","married","secondary","-568","yes","860","2","no"
"33","blue-collar","married","primary","1165","yes","420","2","no"
"53","services","divorced","secondary","-905","yes","213","1","no"
"30","unemployed","married","tertiary","0","yes","756","1","no"
"38","technician","married","secondary","740","no","259","3","no"
"44","management","married","secondary","8262","yes","201","16","no"
"39","admin.","single","secondary","14","yes","19","9","no"
"45","technician","single","unknown","7108","yes","53","1","no"
"36","blue-collar","married","secondary","1049","yes","224","4","yes"
"38","blue-collar","married","secondary","0","yes","57","5","no"
"36","housemaid","married","secondary","419","yes","251","1","no"
"30","management","single","tertiary","726","yes","39","1","no"
"28","technician","divorced","tertiary","594","yes","54","3","no"
"26","unemployed","married","tertiary","454","yes","28","18","no"
"54","unknown","married","secondary","2206","no","104","1","yes"
"38","admin.","married","tertiary","1988","no","164","2","yes"
"32","technician","single","tertiary","0","no","268","2","no"
"50","admin.","divorced","secondary","202","no","148","1","no"
"43","blue-collar","married","secondary","667","yes","228","3","no"
"48","admin.","married","secondary","112","no","139","5","no"
"57","housemaid","married","primary","50","no","89","3","no"
"64","housemaid","married","primary","768","no","250","2","no"
"26","services","divorced","secondary","74","yes","106","6","no"
"33","blue-collar","married","secondary","661","yes","968","1","yes"
"50","self-employed","married","secondary","3025","no","168","3","no"
"47","self-employed","married","tertiary","751","no","408","14","no"
"39","management","single","tertiary","416","no","56","4","no"
"52","services","married","primary","14","no","55","5","no"
"31","blue-collar","single","primary","-502","yes","76","4","no"
"50","blue-collar","married","primary","0","no","72","5","no"
"47","technician","married","secondary","599","yes","99","3","no"
"30","management","single","tertiary","-218","yes","13","15","no"
"32","technician","single","tertiary","1012","no","178","1","no"
"36","technician","married","secondary","300","no","287","1","no"
"46","technician","married","tertiary","217","yes","141","1","no"
"45","management","divorced","tertiary","2096","no","127","1","no"
"37","technician","single","secondary","0","no","69","2","no"
"58","housemaid","married","primary","5278","yes","763","4","no"
"59","management","married","tertiary","1831","no","122","1","no"
"28","management","married","tertiary","1480","yes","143","1","no"
"48","management","married","tertiary","7289","yes","316","3","no"
"55","blue-collar","married","unknown","1665","no","89","2","no"
"37","blue-collar","single","primary","851","yes","151","1","no"
"41","management","married","tertiary","2885","no","40","1","no"
"35","blue-collar","married","secondary","137","no","5","1","no"
"34","blue-collar","single","secondary","1239","yes","90","1","no"
"43","management","single","tertiary","146","no","50","1","no"
"59","technician","married","secondary","1","no","159","2","yes"
"50","blue-collar","divorced","primary","-10","no","369","6","no"
"37","technician","married","secondary","480","no","344","2","yes"
"35","technician","married","secondary","2789","yes","256","2","no"
"50","technician","single","secondary","3897","no","298","1","no"
"36","technician","divorced","secondary","487","no","268","3","no"
"41","admin.","married","secondary","5110","yes","231","1","no"
"28","management","married","tertiary","318","yes","4","4","no"
"42","technician","single","tertiary","-411","yes","78","5","no"
"60","retired","married","secondary","4820","no","419","1","no"
"28","management","single","tertiary","4937","yes","421","3","no"
"48","entrepreneur","married","secondary","725","no","105","1","no"
"51","entrepreneur","married","tertiary","5403","no","42","1","no"
"32","technician","married","tertiary","4089","no","114","7","no"
"35","technician","married","tertiary","188","no","286","2","no"
"37","technician","married","unknown","189","no","238","1","yes"
"38","blue-collar","divorced","secondary","2998","yes","91","1","no"
"77","retired","married","secondary","610","no","766","3","no"
"32","management","single","unknown","787","no","92","1","no"
"43","technician","divorced","secondary","167","no","211","3","no"
"36","management","single","tertiary","243","yes","160","2","no"
"29","management","married","tertiary","877","no","166","3","no"
"32","admin.","single","secondary","2817","yes","195","1","no"
"41","management","divorced","tertiary","4567","yes","106","1","no"
"26","services","single","secondary","127","yes","85","3","no"
"34","blue-collar","married","primary","176","no","78","1","no"
"57","retired","married","tertiary","0","yes","648","1","yes"
"36","services","single","secondary","1482","yes","177","2","no"
"42","blue-collar","married","secondary","3052","yes","32","1","no"
"35","technician","divorced","secondary","56","no","24","12","no"
"52","entrepreneur","divorced","primary","278","yes","688","2","no"
"36","management","single","tertiary","3875","yes","21","5","no"
"46","technician","married","secondary","-337","yes","112","1","no"
"60","management","divorced","tertiary","366","no","593","1","yes"
"57","housemaid","married","primary","501","yes","59","2","no"
"48","management","married","tertiary","998","yes","121","3","no"
"59","self-employed","married","primary","0","yes","97","2","no"
"39","management","married","tertiary","246","no","86","2","no"
"44","blue-collar","married","secondary","-182","yes","10","10","no"
"27","management","single","tertiary","446","no","205","3","no"
"59","retired","married","secondary","1173","no","77","2","no"
"36","technician","divorced","secondary","5957","yes","138","2","no"
"44","admin.","married","secondary","205","no","289","1","yes"
"50","admin.","married","secondary","0","no","86","4","no"
"41","management","divorced","tertiary","369","yes","9","3","no"
"47","admin.","married","secondary","1934","no","225","1","no"
"32","technician","single","tertiary","259","no","407","4","no"
"38","blue-collar","married","secondary","284","yes","1030","6","no"
"55","blue-collar","married","unknown","23","no","123","2","no"
"38","management","single","tertiary","1373","no","119","4","no"
"31","management","single","tertiary","62","yes","175","1","no"
"38","blue-collar","divorced","secondary","157","no","299","5","no"
"29","unemployed","single","tertiary","991","no","563","1","no"
"55","services","married","secondary","186","yes","241","1","no"
"35","unemployed","married","secondary","977","yes","52","4","no"
"40","self-employed","single","tertiary","2893","no","76","3","no"
"34","blue-collar","married","secondary","1897","yes","441","1","no"
"32","technician","single","tertiary","5514","no","319","1","yes"
"33","blue-collar","married","secondary","889","yes","13","1","no"
"33","management","married","tertiary","273","yes","803","1","yes"
"37","admin.","married","secondary","1193","no","396","2","no"
"58","management","married","tertiary","2729","no","188","1","no"
"36","admin.","single","secondary","0","no","637","1","no"
"42","blue-collar","married","secondary","230","yes","175","7","no"
"34","technician","single","secondary","2729","yes","945","1","no"
"35","management","married","tertiary","317","yes","162","3","no"
"60","housemaid","married","primary","517","no","1178","3","no"
"50","management","married","tertiary","-470","yes","506","2","no"
"28","self-employed","single","tertiary","4579","no","409","2","yes"
"27","blue-collar","divorced","secondary","1","yes","116","3","no"
"37","management","married","tertiary","5106","no","244","1","yes"
"31","technician","married","tertiary","636","yes","352","4","yes"
"34","services","married","secondary","1076","no","152","1","yes"
"38","management","married","tertiary","126","yes","164","2","no"
"32","self-employed","married","secondary","-33","yes","234","3","no"
"37","technician","married","secondary","430","no","154","4","no"
"33","admin.","married","secondary","-6","yes","566","2","no"
"71","technician","married","tertiary","383","no","327","2","no"
"27","technician","married","secondary","130","yes","265","3","no"
"38","blue-collar","married","primary","2569","no","172","1","no"
"34","technician","single","secondary","201","no","257","2","no"
"54","retired","divorced","tertiary","0","no","618","1","yes"
"30","blue-collar","married","secondary","6","yes","241","3","no"
"35","entrepreneur","single","secondary","475","no","936","4","no"
"33","blue-collar","single","secondary","706","yes","329","1","no"
"36","management","married","secondary","1825","yes","24","1","no"
"59","self-employed","married","tertiary","185","no","177","5","no"
"72","blue-collar","married","primary","4415","no","120","1","no"
"64","management","married","tertiary","679","no","135","3","no"
"53","technician","divorced","secondary","320","no","175","1","no"
"35","management","single","tertiary","2988","yes","179","1","no"
"58","self-employed","married","secondary","1407","yes","58","1","no"
"40","technician","married","secondary","1270","no","342","2","no"
"41","services","divorced","secondary","654","yes","139","2","no"
"48","retired","married","primary","5173","yes","88","8","no"
"44","entrepreneur","married","tertiary","3463","yes","210","3","no"
"39","blue-collar","married","unknown","0","no","731","1","no"
"61","management","married","tertiary","6016","no","670","3","yes"
"36","entrepreneur","married","primary","177","yes","63","5","no"
"28","management","married","tertiary","3694","no","70","2","no"
"58","retired","single","secondary","1640","no","72","6","no"
"60","admin.","divorced","secondary","174","yes","241","1","no"
"66","admin.","single","secondary","10177","no","272","4","no"
"36","management","single","tertiary","490","no","207","8","yes"
"49","self-employed","married","secondary","2576","yes","64","6","no"
"40","services","married","secondary","0","no","543","2","no"
"23","technician","single","secondary","598","no","166","1","no"
"29","management","single","tertiary","15459","no","245","3","no"
"44","blue-collar","married","primary","271","yes","94","1","no"
"54","unknown","married","unknown","2508","no","34","8","no"
"47","blue-collar","married","primary","320","no","203","2","no"
"33","admin.","married","tertiary","640","no","318","1","no"
"30","self-employed","married","secondary","1772","yes","158","4","no"
"27","admin.","single","secondary","15","no","177","1","no"
"49","management","divorced","tertiary","2370","yes","56","1","no"
"27","services","single","secondary","201","yes","172","2","no"
"51","blue-collar","married","secondary","160","yes","136","1","no"
"32","admin.","divorced","secondary","5","yes","82","3","no"
"30","blue-collar","single","secondary","75","yes","123","1","no"
"33","admin.","married","secondary","4902","yes","110","1","no"
"27","blue-collar","single","primary","-79","yes","385","5","no"
"75","retired","divorced","secondary","1341","no","415","7","yes"
"37","services","divorced","secondary","490","yes","73","1","no"
"36","technician","single","secondary","1521","yes","243","2","no"
"37","blue-collar","married","secondary","131","yes","137","2","no"
"35","management","married","tertiary","8","yes","55","4","no"
"32","services","married","secondary","-632","yes","18","5","no"
"32","admin.","single","secondary","116","no","255","2","no"
"35","admin.","married","primary","189","yes","95","1","no"
"31","blue-collar","married","primary","2","yes","112","1","no"
"28","blue-collar","single","secondary","4229","yes","205","2","no"
"27","services","married","secondary","54","yes","97","1","no"
"22","student","single","unknown","549","no","154","1","no"
"35","blue-collar","married","primary","298","yes","135","2","no"
"69","retired","married","primary","579","no","230","1","no"
"37","entrepreneur","single","tertiary","1467","yes","349","1","no"
"45","admin.","single","secondary","0","yes","38","1","no"
"47","management","married","tertiary","109","yes","268","1","no"
"52","management","married","tertiary","-11","yes","94","4","no"
"33","services","married","secondary","90","yes","263","2","no"
"60","blue-collar","married","primary","493","no","671","4","yes"
"33","management","divorced","secondary","1897","yes","197","1","no"
"44","admin.","married","secondary","2403","yes","180","2","no"
"38","entrepreneur","married","secondary","868","no","452","2","no"
"54","entrepreneur","married","secondary","653","yes","352","1","no"
"32","unemployed","divorced","primary","0","no","175","4","no"
"33","technician","married","secondary","0","yes","163","2","no"
"55","services","divorced","secondary","218","yes","200","2","no"
"51","blue-collar","married","primary","5050","no","75","7","no"
"48","blue-collar","married","secondary","741","yes","227","1","no"
"37","services","single","secondary","1050","yes","586","3","no"
"33","services","single","secondary","-56","no","119","5","no"
"30","blue-collar","married","primary","1","yes","80","2","no"
"43","blue-collar","married","primary","-98","yes","112","2","no"
"49","technician","married","secondary","4667","yes","130","2","no"
"54","unemployed","married","primary","541","yes","237","3","no"
"31","unemployed","married","tertiary","7744","no","377","8","no"
"54","unknown","married","unknown","895","no","335","1","yes"
"36","unemployed","married","secondary","-129","yes","121","3","no"
"30","admin.","married","secondary","0","no","127","5","no"
"27","technician","single","secondary","158","no","650","2","yes"
"30","admin.","married","secondary","122","yes","107","1","no"
"30","blue-collar","married","secondary","673","yes","610","2","no"
"35","technician","divorced","secondary","0","no","124","4","no"
"33","services","divorced","secondary","411","yes","216","1","no"
"43","blue-collar","divorced","primary","-97","yes","747","4","no"
"41","blue-collar","married","secondary","-217","yes","313","1","no"
"41","management","divorced","tertiary","5037","no","252","9","yes"
"46","admin.","divorced","secondary","2232","no","121","1","yes"
"54","blue-collar","married","secondary","-932","yes","799","1","no"
"32","management","married","tertiary","913","yes","883","1","no"
"30","technician","single","tertiary","236","yes","197","1","no"
"40","entrepreneur","married","primary","0","yes","271","2","no"
"30","blue-collar","married","primary","2581","no","221","2","no"
"27","admin.","married","secondary","639","no","243","3","no"
"41","blue-collar","married","primary","849","yes","72","1","no"
"54","services","married","secondary","386","yes","155","2","no"
"32","management","single","tertiary","1218","yes","70","2","no"
"31","management","married","tertiary","2603","yes","280","4","yes"
"42","blue-collar","married","secondary","-921","yes","115","2","no"
"48","admin.","married","primary","607","no","29","2","no"
"34","blue-collar","married","primary","79","yes","406","2","no"
"55","technician","divorced","secondary","61","yes","113","3","no"
"49","technician","married","secondary","1091","no","47","2","no"
"46","management","divorced","tertiary","743","no","36","2","no"
"47","entrepreneur","married","unknown","209","yes","135","2","no"
"24","management","single","tertiary","172","no","67","2","no"
"58","entrepreneur","married","secondary","2","no","684","1","no"
"32","management","single","tertiary","41","no","686","5","yes"
"25","student","single","secondary","1116","yes","170","3","no"
"49","blue-collar","married","secondary","-55","no","150","3","no"
"59","retired","divorced","secondary","5845","no","1060","2","yes"
"30","management","single","tertiary","329","yes","122","16","no"
"46","blue-collar","married","secondary","494","yes","724","1","no"
"42","management","married","unknown","1519","no","230","1","yes"
"37","entrepreneur","married","tertiary","2685","no","187","2","no"
"44","blue-collar","married","primary","-14","yes","179","4","no"
"49","services","married","secondary","5673","no","357","3","no"
"41","blue-collar","married","secondary","1459","no","82","1","no"
"48","technician","married","tertiary","0","no","176","15","no"
"31","management","married","secondary","625","yes","424","1","no"
"37","student","married","unknown","0","no","115","1","no"
"51","services","married","secondary","867","yes","177","2","no"
"80","retired","married","secondary","8304","no","712","1","yes"
"32","management","single","tertiary","151","yes","118","1","no"
"48","services","married","primary","-583","yes","25","7","no"
"49","blue-collar","married","tertiary","1784","no","753","1","no"
"30","management","married","tertiary","3134","yes","124","1","no"
"27","self-employed","single","secondary","49","yes","208","2","no"
"34","technician","married","secondary","-346","no","136","4","no"
"49","management","married","secondary","1623","yes","1081","2","yes"
"48","management","married","tertiary","60","no","376","2","no"
"40","services","married","secondary","17","no","78","1","no"
"38","blue-collar","married","secondary","2008","yes","354","1","no"
"46","blue-collar","married","primary","91","yes","29","1","no"
"41","entrepreneur","married","tertiary","171","yes","209","1","no"
"28","management","single","tertiary","1027","yes","433","1","no"
"51","services","married","unknown","5801","yes","147","2","no"
"33","blue-collar","divorced","primary","142","yes","41","2","no"
"26","management","single","tertiary","205","no","111","1","no"
"34","admin.","single","secondary","852","no","108","2","no"
"27","blue-collar","married","secondary","-584","yes","411","2","no"
"42","self-employed","married","secondary","97","no","108","2","no"
"45","admin.","married","secondary","204","yes","224","2","yes"
"31","technician","single","secondary","628","yes","1083","2","no"
"32","management","single","tertiary","311","no","757","2","yes"
"39","blue-collar","married","primary","1564","no","57","1","no"
"26","blue-collar","single","secondary","856","yes","95","5","no"
"40","management","single","tertiary","1509","no","144","2","no"
"52","services","married","secondary","-888","no","135","1","no"
"40","technician","single","tertiary","226","no","176","2","no"
"48","technician","married","secondary","127","no","524","5","no"
"31","services","married","secondary","413","yes","65","1","no"
"27","admin.","married","secondary","710","yes","653","1","yes"
"47","technician","married","secondary","1233","yes","91","1","yes"
"28","management","single","secondary","171","no","93","1","yes"
"40","management","divorced","tertiary","69","yes","503","2","no"
"34","admin.","married","secondary","1499","yes","186","1","no"
"29","self-employed","married","tertiary","751","yes","121","2","no"
"36","management","married","tertiary","61","no","452","2","no"
"83","retired","married","primary","425","no","883","1","yes"
"55","services","divorced","primary","2923","yes","104","2","no"
"43","management","divorced","tertiary","99","no","24","3","no"
"23","student","single","secondary","1021","no","79","9","no"
"44","technician","married","tertiary","1146","no","178","2","no"
"58","blue-collar","married","primary","781","yes","74","2","no"
"29","admin.","single","secondary","1448","no","217","1","no"
"30","management","single","tertiary","604","no","475","1","no"
"29","admin.","single","secondary","-194","yes","127","1","no"
"41","technician","married","secondary","0","no","101","1","no"
"35","housemaid","married","primary","0","yes","340","3","no"
"31","technician","single","secondary","1014","yes","158","4","no"
"27","admin.","single","tertiary","73","no","242","1","no"
"47","services","married","secondary","2597","yes","323","1","no"
"53","self-employed","married","tertiary","2627","yes","18","30","no"
"34","management","married","tertiary","1906","yes","68","3","no"
"34","blue-collar","married","primary","-319","yes","134","4","no"
"36","management","married","tertiary","-296","yes","113","3","no"
"40","technician","married","secondary","169","yes","43","4","no"
"37","self-employed","single","tertiary","556","no","200","2","no"
"65","retired","divorced","unknown","300","no","245","2","no"
"53","technician","divorced","secondary","751","yes","343","4","no"
"28","technician","single","secondary","126","no","229","1","no"
"33","technician","divorced","tertiary","-386","yes","530","1","no"
"56","blue-collar","married","primary","379","no","58","5","no"
"45","self-employed","married","secondary","706","no","78","2","no"
"39","technician","married","secondary","9121","no","147","1","no"
"28","management","single","tertiary","1466","yes","40","1","no"
"36","blue-collar","married","primary","0","yes","618","2","no"
"41","blue-collar","married","primary","951","yes","23","4","no"
"46","admin.","married","secondary","368","no","293","1","yes"
"41","blue-collar","married","secondary","121","yes","16","6","no"
"59","services","married","secondary","204","no","286","2","no"
"24","admin.","married","secondary","299","yes","209","1","no"
"34","management","married","tertiary","4170","yes","935","1","no"
"40","blue-collar","married","primary","-335","yes","260","1","no"
"42","admin.","married","secondary","3165","yes","298","4","no"
"50","services","married","secondary","254","yes","397","2","no"
"25","management","single","tertiary","553","yes","113","4","no"
"51","services","divorced","secondary","518","yes","76","1","no"
"50","management","married","tertiary","85","no","141","1","no"
"37","blue-collar","married","unknown","603","yes","773","2","no"
"21","services","single","secondary","361","no","329","1","no"
"52","blue-collar","married","secondary","-98","yes","423","1","no"
"55","retired","married","primary","4424","no","67","4","no"
"26","technician","single","secondary","2610","yes","626","1","no"
"38","technician","married","tertiary","3234","no","578","2","yes"
"32","blue-collar","married","secondary","687","yes","61","1","no"
"31","blue-collar","married","secondary","631","yes","248","4","no"
"34","technician","single","secondary","341","no","136","1","no"
"33","technician","single","tertiary","316","no","126","3","no"
"35","technician","married","secondary","2","no","653","3","no"
"44","management","married","unknown","415","yes","7","7","no"
"48","management","divorced","tertiary","507","yes","528","1","no"
"29","blue-collar","married","secondary","912","yes","785","1","no"
"50","management","married","tertiary","0","no","243","5","no"
"37","blue-collar","married","primary","37","yes","24","2","no"
"44","admin.","single","secondary","2524","no","82","1","no"
"36","unemployed","single","tertiary","9019","yes","952","3","no"
"49","blue-collar","divorced","unknown","39","yes","27","5","no"
"31","blue-collar","married","secondary","0","yes","143","1","no"
"49","technician","divorced","secondary","265","yes","274","6","no"
"35","blue-collar","single","secondary","0","yes","1174","1","yes"
"57","admin.","divorced","unknown","4012","no","915","1","no"
"42","blue-collar","married","primary","1520","yes","115","1","no"
"36","blue-collar","divorced","secondary","-140","yes","222","2","no"
"75","retired","divorced","primary","852","no","341","1","no"
"38","blue-collar","single","secondary","578","yes","112","2","no"
"40","blue-collar","married","primary","0","yes","64","2","no"
"38","services","single","secondary","2253","yes","937","3","yes"
"34","management","single","tertiary","1171","yes","129","1","no"
"29","technician","single","tertiary","452","yes","59","1","no"
"28","admin.","married","secondary","-97","yes","79","1","no"
"79","retired","married","secondary","4738","no","151","5","no"
"51","admin.","divorced","secondary","467","yes","83","1","no"
"32","student","single","tertiary","0","no","101","5","no"
"36","management","married","tertiary","495","no","157","3","yes"
"38","entrepreneur","married","secondary","157","no","57","11","no"
"49","self-employed","married","secondary","358","yes","176","3","no"
"42","services","married","secondary","292","yes","222","3","no"
"43","blue-collar","married","primary","7343","yes","217","4","no"
"34","blue-collar","married","secondary","-563","yes","252","1","no"
"59","retired","single","secondary","351","yes","1063","5","yes"
"35","unknown","married","primary","365","no","41","2","no"
"33","blue-collar","single","secondary","13494","yes","27","25","no"
"34","admin.","single","secondary","846","yes","758","2","no"
"64","retired","married","secondary","1574","no","301","3","yes"
"34","entrepreneur","married","tertiary","-28","yes","574","1","no"
"77","retired","married","tertiary","0","no","847","1","yes"
"57","retired","married","primary","2927","no","78","5","no"
"30","blue-collar","married","secondary","501","yes","514","1","no"
"56","housemaid","divorced","primary","1238","no","1558","1","yes"
"49","unknown","married","unknown","301","no","789","2","no"
"73","retired","married","primary","1388","no","146","3","no"
"39","technician","single","secondary","102","yes","272","2","no"
"57","technician","divorced","primary","13","yes","323","2","no"
"32","self-employed","married","secondary","413","yes","712","2","no"
"32","technician","single","tertiary","4665","yes","860","2","yes"
"45","admin.","married","secondary","638","yes","75","9","no"
"32","blue-collar","married","secondary","101","yes","191","4","no"
"31","management","married","tertiary","1224","yes","1441","2","yes"
"49","self-employed","married","secondary","1103","no","428","2","no"
"29","services","married","secondary","3748","no","322","3","no"
"55","technician","married","secondary","955","yes","104","1","no"
"30","admin.","married","secondary","518","yes","127","1","no"
"45","services","single","primary","1893","yes","1259","6","yes"
"39","technician","married","tertiary","14","no","114","2","no"
"36","admin.","married","secondary","-423","yes","106","1","no"
"33","management","married","tertiary","3696","no","305","1","no"
"36","management","married","tertiary","2987","yes","307","1","yes"
"31","technician","single","secondary","433","no","1504","2","no"
"36","technician","married","unknown","756","no","396","3","no"
"38","technician","single","tertiary","0","yes","71","1","no"
"33","unknown","married","secondary","2727","no","205","3","no"
"40","technician","married","secondary","93","yes","134","2","no"
"31","blue-collar","married","secondary","1766","no","166","2","yes"
"39","services","married","secondary","124","yes","81","5","no"
"33","admin.","married","tertiary","69","no","77","2","no"
"53","services","divorced","secondary","0","no","80","2","yes"
"38","management","married","tertiary","0","yes","537","5","no"
"59","technician","married","secondary","259","no","415","1","yes"
